id,company,city,region,tier,type,source_url,notes,evidence
C01,ФотоОтель (онлайн-типография),Нефтеюганск,ХМАО,regional_online,фотоцентр онлайн,https://photohotel.ru/nefteyugansk/products/photoprint,"полная тарифная сетка фотопечати, отзывы",A
C02,Фотосфера (сеть),Нефтеюганск,ХМАО,regional_online,фотоцентр сеть,https://fsfera.ru/uslugi-nefteyugansk/,"фотоуслуги: проявка, сканирование, фото на документы, фотомонтаж, оцифровка",A
C03,Точка Печати,Нефтеюганск,ХМАО,local,фотоцентр/копицентр,https://yandex.ru/maps/org/tochka_pechati/205080785853/,"карточка с ценами: ламинация 60₽, фото 10х15 30₽, ксерокс ч/б 15₽; 4.6★/41",A
C04,Фото Мир,Нефтеюганск,ХМАО,local,фотосалон,https://vk.com/fotomirnfy,"VK: фото на документы паспорт/виза 3х4, печать до А1, распечатка цветных/чб",B
C05,Нефтеюганская типография,Нефтеюганск,ХМАО,local,типография,https://2gis.ru/nefteyugansk/firm/70000001035053868,"2ГИС 4.3★/18",B
C06,Мир Рекламы,Нефтеюганск,ХМАО,local,рекламное агентство,https://мир-рекламы.рф/,"визитки, буклеты, листовки, упаковка, этикетки + наружка",B
C07,Нефтеюганская рекламная мастерская,Нефтеюганск,ХМАО,local_small,рекламная мастерская,https://нефтеюганская-рекламная-мастерская.рф/,"информационные таблички, вывески; контакт только телефон/email — малый бизнес без прайса",C
C08,ИКГ Атмосфера,Нефтеюганск+Сургут,ХМАО,regional,рекламно-производственная компания,https://www.tel86.ru/,"полный прайс наружки/полиграфии, работы в Нефтеюганске и Пыть-Яхе; доска почета Пыть-Ях",A
C09,Точка Печати,Пыть-Ях,ХМАО,local,фотоцентр/копицентр,https://yandex.ru/maps/org/tochka_pechati/7534718264/,"цены: фото на документы 450₽/4шт, фото 10х15 30₽, ксерокс ч/б 15₽; 4.6★/16",A
C10,ФотоЦентр,Пыть-Ях,ХМАО,local_small,фотоцентр,https://pyt-iakh.spravker.ru/kopirovalnyie-tsentryi/,"справочник, 5-й микрорайон 13",C
C11,Фото-Ях,Пыть-Ях,ХМАО,local,фотоателье,https://2gis.ru/pyt-yah/firm/70000001046346956,"2ГИС 5★/22: копицентр, сувениры, фото на документы, послепечатная обработка",B
C12,ОптПолиграф (федеральный, доставка),Нефтеюганск/Пыть-Ях/Нижневартовск,ХМАО,federal_online,онлайн-типография,https://opt-poligraf.ru/nefteiugansk/,"прайсы баннеров, визиток, футболок по городам ХМАО",B
C13,Мультифото (федеральный),Нефтеюганск/Сургут/Когалым/Югорск,ХМАО+РФ,federal_online,онлайн-фотоцентр,https://multifoto.ru/nefteyugansk/,"фотопечать, фотокниги, сувениры, печати для ООО/ИП, фото на документы",B
C14,zsa-print Гарант,Нефтеюганск+Нижневартовск,ХМАО,regional_online,типография с калькулятором,https://nefteyugansk.zsa-print.ru/rashet-stoimosti/,"срочная полиграфия; сайт не открылся (timeout), сниппет",C
C15,66print Принт Нефтеюганск,Нефтеюганск,ХМАО,regional_online,типография,https://nfu.66print.ru/,"офсет/цифра/широкоформат, калькулятор листовок",C
C16,Фотосалон Кадр,Сургут,ХМАО,local,фотосалон,https://fotokadrsurgut.orgs.biz/,"полный прайс: ламинация 20-70₽, фото 10х15 14-25₽, фото на документы 300-350₽, FAQ с вопросами клиентов",A
C17,ФотоКанц,Сургут,ХМАО,local,фотоцентр+канцтовары,https://2gis.ru/surgut/firm/70000001006201457/tab/prices,"срочное фото на документы от 350₽, печать фото от 15₽, ретушь; 4.9★/131",B
C18,Фото на документы (Яндекс.Карты),Сургут,ХМАО,local,фотоателье,https://yandex.ru/maps/org/foto_na_dokumenty/167016093728/prices/,"фотопечать 10х15 40₽, 15х20 75₽, 20х30 100₽",C
C19,Фото Принт,Сургут,ХМАО,local,фотосалон,https://zoon.ru/surgut/utility_service/fotosalon_foto_print/,"фото на документы 350₽, ксерокс 15₽, сканирование 20₽",C
C20,Грандфото,Ханты-Мансийск,ХМАО,local,фотоцентр+багет,https://2gis.ru/kh_mansiysk/firm/70000001023832813,"4.9★/171: фотоцентр, оперативка, багет, широкоформат, фотокниги",B
C21,Мир Фото,Ханты-Мансийск,ХМАО,local,фотоателье,https://2gis.ru/kh_mansiysk/firm/70000001023818731,"3.8★/39; отзыв: «10 штук, одно фото за 25 руб»",B
C22,Cheese Photo,Ханты-Мансийск,ХМАО,local,фотоуслуги+сувениры,https://yandex.ru/maps/org/cheese_photo/177595465922/,"5★/158: фото на документы, фотопазлы, часы, футболки",B
C23,Фотосалон Мир Фото,Ханты-Мансийск,ХМАО,local,фотосалон,https://vk.com/mirfotohm,"VK: фото на документы, кружки/тарелки/брелки/подушки/пазлы/футболки",B
C24,Типография Полиграф,Нижневартовск,ХМАО,local,типография+реклама,https://2gis.ru/nizhnevartovsk/firm/1689378141246828,"4.9★/45; отзыв: визитки 700₽ за 100 шт (минимальный тираж), срочные печати",B
C25,Типография Экспресс (ИПЦ Экспресс),Нижневартовск,ХМАО,local,типография,https://nizhnevartovsk.express72.ru/,"универсальная типография, печать на кружках от 15 шт 450₽/шт, 1 шт 850₽",B
C26,Konika,Когалым,ХМАО,local,фотосалон,https://2gis.ru/kogalym/firm/70000001034243024,"3.4★/20; отзыв о быстрой качественной работе",C
C27,Салон срочного фото,Когалым,ХМАО,local_small,фото+копицентр,https://kogalim.spravka-region.ru/tags/kopirovalnye-uslugi/Salon-srocnogo-foto-67,"справочник",C
C28,Фото на документы (orgs.biz),Когалым,ХМАО,local_small,фотоуслуги,https://foto-na-dokumenty.orgs.biz/,"фото на документы, ксерокопия, ламинирование; только телефон",C
C29,Фотостудия СПЕКТР,Югорск,ХМАО,local_small,фотостудия,https://vk.ru/fotost_spektr,"VK: фотокниги, фото на документы, футболки и кружки, сканирование/печать/ламинация",B
C30,ФотоДок,Югорск/Советский,ХМАО,local_small,фотосалон,https://salon-photodoc868.orgs.biz/product/87324,"отправка 1 фото по e-mail 50₽",C
C31,Спектр,Югорск,ХМАО,local_small,фотоуслуги,https://yandex.ru/maps/11177/ugorsk/category/photography/184108261/,"4.3★/87",C
C32,Фотосалон Кодак,Советский,ХМАО,local_small,фотоцентр+переплёт,https://iugorsk.spravker.ru/fotouslugi/,"переплётные работы",C
C33,Яндекс.Услуги (категория),Нягань,ХМАО,aggregator,копирработы от 10₽/шт,https://uslugi.yandex.ru/11186-nyagan/category,"агрегатор исполнителей",C
C34,Типография (Строителей 11),Мегион,ХМАО,local_small,типография,https://vsepoligrafii.ru/megion/pechatmalenkihfoto/,"печать маленьких фото",C
C35,Ralfmedia,Пыть-Ях/Югорск,ХМАО,regional_online,рекламное агентство,https://pyt-yah.ralfmedia.ru/,"широкоформат/интерьерная печать, наружка, срочное 1-3 дня",C
C36,Заметно (агентство, доставка),Нефтеюганск,ХМАО,federal_online,рекламное агентство,https://zametno.su/content/nefteyugansk/,"вывески, наружная и интерьерная реклама",C
C37,Братья Пилоты (доставка),Нефтеюганск,ХМАО,federal_online,онлайн-типография,https://bpilot.ru/vizitki/nefteyugansk,"визитки с доставкой",C
C38,NetPrint/FotoPostApp (федеральные),ХМАО города,ХМАО,federal_online,онлайн-фотопечать,https://netprint.ru/nefteyugansk/photo,"фото 10х15 от ~12₽, срок 2 дня, доставка",C
C39,Ответы Mail (Q&A),Россия,РФ,national_qa,форум/Q&A,https://otvet.mail.ru/,"дословные формулировки клиентов, цены из ответов",A
C40,Avito Услуги,Пыть-Ях/Югорск/Нефтеюганск,ХМАО,marketplace,объявления малых ИП,https://www.avito.ru/pyt-yah/predlozheniya_uslug/,"своё производство в Пыть-Яхе: баннеры, плёнка, таблички; прямой доступ ограничен",C
