id,source_company,city,region,service,params,unit,price,currency,conditions,url,evidence
P01,ФотоОтель,Нефтеюганск,ХМАО,фотопечать 10х15,глянец/мат,шт,17→12,₽,"тиражная лестница: 1/50/100/250/500",https://photohotel.ru/nefteyugansk/products/photoprint,A
P02,ФотоОтель,Нефтеюганск,ХМАО,фотопечать 15х21,глянец/мат,шт,39→35,₽,"тираж 1→500",https://photohotel.ru/nefteyugansk/products/photoprint,A
P03,ФотоОтель,Нефтеюганск,ХМАО,фотопечать 21х30,глянец/мат,шт,80→65,₽,тираж 1→250,https://photohotel.ru/nefteyugansk/products/photoprint,A
P04,ФотоОтель,Нефтеюганск,ХМАО,фотопечать 30х40/30х45,глянец/мат,шт,155→135,₽,тираж 1→250,https://photohotel.ru/nefteyugansk/products/photoprint,A
P05,ФотоОтель,Нефтеюганск,ХМАО,фотопанорама 30х91,—,шт,300→270,₽,тираж 1→250,https://photohotel.ru/nefteyugansk/products/photoprint,A
P06,ФотоОтель,Нефтеюганск,ХМАО,печать на холсте,подрамник,шт,от 1490,₽,"3-4 дня",https://photohotel.ru/nefteyugansk/products/photoprint,A
P07,ФотоОтель,Нефтеюганск,ХМАО,фотокарточки Polaroid/Instagram,—,шт,от 9,₽,мелованная бумага,https://photohotel.ru/nefteyugansk/products/photoprint,A
P08,ФотоОтель,Нефтеюганск,ХМАО,коллаж,мелованная бумага,шт,от 200,₽,,https://photohotel.ru/nefteyugansk/products/photoprint,A
P09,Точка Печати,Нефтеюганск,ХМАО,ламинация документа,—,шт,60,₽,4.6★/41,https://yandex.ru/maps/org/tochka_pechati/205080785853/,A
P10,Точка Печати,Нефтеюганск,ХМАО,печать фото 10х15,любительские,шт,30,₽,,https://yandex.ru/maps/org/tochka_pechati/205080785853/,A
P11,Точка Печати,Нефтеюганск,ХМАО,ксерокопия ч/б,—,шт,15,₽,,https://yandex.ru/maps/org/tochka_pechati/205080785853/,A
P12,Точка Печати (Пыть-Ях),Пыть-Ях,ХМАО,фото на документы,4 шт,пакет,450,₽,4.6★/16,https://yandex.ru/maps/org/tochka_pechati/7534718264/,A
P13,Точка Печати (Пыть-Ях),Пыть-Ях,ХМАО,печать фото 10х15,—,шт,30,₽,,https://yandex.ru/maps/org/tochka_pechati/7534718264/,A
P14,Точка Печати (Пыть-Ях),Пыть-Ях,ХМАО,ксерокопия ч/б,—,шт,15,₽,,https://yandex.ru/maps/org/tochka_pechati/7534718264/,A
P15,Фотосалон Кадр,Сургут,ХМАО,ламинация,мин. формат/А5/А4,шт,20/40/70,₽,,https://fotokadrsurgut.orgs.biz/,A
P16,Фотосалон Кадр,Сургут,ХМАО,печать фото 10х15,глянец,шт,25→16,₽,"до 30шт 25; до 200шт 20; от 200шт 16",https://fotokadrsurgut.orgs.biz/,A
P17,Фотосалон Кадр,Сургут,ХМАО,фото на документы,съёмка+печать,услуга,300–350,₽,"в течении 10 мин; можно прислать готовое фото онлайн",https://fotokadrsurgut.orgs.biz/,A
P18,ФотоКанц,Сургут,ХМАО,срочное фото на документы,—,услуга,от 350,₽,4.9★/131,https://2gis.ru/surgut/firm/70000001006201457/tab/prices,B
P19,ФотоКанц,Сургут,ХМАО,печать фотографий,—,шт,от 15,₽,,https://2gis.ru/surgut/firm/70000001006201457/tab/prices,B
P20,ФотоКанц,Сургут,ХМАО,ретушь/восстановление,профессиональная,услуга,от 1,₽,"«от 1 ₽» — вероятно маркетинговая нижняя граница",https://2gis.ru/surgut/firm/70000001006201457/tab/prices,C
P21,Фото на документы (карточка),Сургут,ХМАО,фотопечать 10х15,глянец,шт,40,₽,,https://yandex.ru/maps/org/foto_na_dokumenty/167016093728/prices/,C
P22,Фото на документы (карточка),Сургут,ХМАО,фотопечать 15х20,глянец,шт,75,₽,,https://yandex.ru/maps/org/foto_na_dokumenty/167016093728/prices/,C
P23,Фото на документы (карточка),Сургут,ХМАО,фотопечать 20х30,глянец/мат,шт,100,₽,,https://yandex.ru/maps/org/foto_na_dokumenty/167016093728/prices/,C
P24,Фото Принт,Сургут,ХМАО,фото на документы,—,услуга,350,₽,,https://zoon.ru/surgut/utility_service/fotosalon_foto_print/,C
P25,Фото Принт,Сургут,ХМАО,ксерокопия+печать документов,—,шт,15,₽,,https://zoon.ru/surgut/utility_service/fotosalon_foto_print/,C
P26,Фото Принт,Сургут,ХМАО,сканирование,—,шт,20,₽,,https://zoon.ru/surgut/utility_service/fotosalon_foto_print/,C
P27,Фотосфера,Нефтеюганск,ХМАО,проявка фотопленки,все виды,услуга,от 350,₽,,https://fsfera.ru/uslugi-nefteyugansk/,A
P28,Фотосфера,Нефтеюганск,ХМАО,сканирование и обработка,фото/пленки,услуга,от 800,₽,,https://fsfera.ru/uslugi-nefteyugansk/,A
P29,Фотосфера,Нефтеюганск,ХМАО,фото на документы,—,услуга,от 650,₽,"до 10 минут",https://fsfera.ru/uslugi-nefteyugansk/,A
P30,Фотосфера,Нефтеюганск,ХМАО,фотомонтаж,холст+багет,услуга,от 950,₽,,https://fsfera.ru/uslugi-nefteyugansk/,A
P31,Фотосфера,Нефтеюганск,ХМАО,оцифровка видео/аудио,кассеты/пленки,мин,от 23,₽,,https://fsfera.ru/uslugi-nefteyugansk/,A
P32,Фотосфера,Нефтеюганск,ХМАО,помощь дизайнера,фотокниги,услуга,от 1500,₽,,https://fsfera.ru/uslugi-nefteyugansk/,A
